HYDROLAB MS5 65376
"Log File Name : site_name_for_hydrolab_file"
"Setup Date (YYYY-MM-DD) : 2017-02-22"
"Setup Time (HH:MM:SS) : 11:48:20"
"Starting Date (YYYY-MM-DD) : 2017-02-22"
"Starting Time (HH:MM:SS) : 12:00:00"
"Stopping Date (YYYY-MM-DD) : 2024-09-22"
"Stopping Time (HH:MM:SS) : 12:48:20"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","TDG","","TDG","","TDG","","IBatt","","EBatt","","IBatt","","EBatt","","Circ",""
"YYYY-MM-DD","HH:MM:SS","","°C","","mmHg","","psia","","mV","","Volts","","Volts","","%Left","","%Left","","Status",""

2017-02-23,01:00:00,"","2.17","","750","","14.51","","12.09","","11.3","","0.0","","84","","0","","1",""
2017-02-23,01:15:00,"","2.04","","750","","14.50","","12.09","","11.2","","0.0","","82","","0","","1",""
2017-02-23,01:30:00,"","1.96","","750","","14.51","","12.09","","11.2","","0.0","","82","","0","","1",""
2017-02-23,01:45:00,"","1.88","","750","","14.51","","12.09","","11.2","","0.0","","82","","0","","1",""
2017-02-23,02:00:00,"","1.82","","750","","14.50","","12.08","","11.2","","0.0","","82","","0","","1",""
2017-02-23,02:15:00,"","1.75","","750","","14.50","","12.08","","11.2","","0.0","","82","","0","","1",""
2017-02-23,02:30:00,"","1.71","","750","","14.49","","12.08","","11.2","","0.0","","82","","0","","1",""
2017-02-23,02:45:00,"","1.67","","749","","14.49","","12.08","","11.2","","0.0","","82","","0","","1",""
2017-02-23,03:00:00,"","1.62","","749","","14.49","","12.08","","11.2","","0.0","","82","","0","","1",""
2017-02-23,03:15:00,"","1.57","","749","","14.49","","12.08","","11.2","","0.0","","82","","0","","1",""
2017-02-23,03:30:00,"","1.52","","749","","14.48","","12.07","","11.2","","0.0","","82","","0","","1",""
2017-02-23,03:45:00,"","1.46","","749","","14.48","","12.07","","11.2","","0.0","","82","","0","","1",""
2017-02-23,04:00:00,"","1.41","","749","","14.48","","12.06","","11.2","","0.0","","82","","0","","1",""
2017-02-23,04:15:00,"","1.36","","749","","14.48","","12.06","","11.2","","0.0","","82","","0","","1",""
2017-02-23,04:30:00,"","1.33","","748","","14.47","","12.06","","11.2","","0.0","","82","","0","","1",""
2017-02-23,04:45:00,"","1.32","","748","","14.47","","12.06","","11.2","","0.0","","82","","0","","1",""
2017-02-23,05:00:00,"","1.33","","748","","14.47","","12.06","","11.2","","0.0","","82","","0","","1",""
2017-02-23,05:15:00,"","1.35","","748","","14.47","","12.06","","11.2","","0.0","","82","","0","","1",""
2017-02-23,05:30:00,"","1.39","","748","","14.47","","12.06","","11.2","","0.0","","82","","0","","1",""
2017-02-23,05:45:00,"","1.42","","748","","14.47","","12.06","","11.2","","0.0","","82","","0","","1",""
2017-02-23,06:00:00,"","1.44","","748","","14.47","","12.05","","11.2","","0.0","","81","","0","","1",""
2017-02-23,06:15:00,"","1.44","","748","","14.46","","12.05","","11.2","","0.0","","82","","0","","1",""
2017-02-23,06:30:00,"","1.45","","748","","14.46","","12.05","","11.2","","0.0","","81","","0","","1",""
2017-02-23,06:45:00,"","1.48","","748","","14.47","","12.05","","11.1","","0.0","","81","","0","","1",""
2017-02-23,07:00:00,"","1.49","","748","","14.46","","12.05","","11.1","","0.0","","81","","0","","1",""
2017-02-23,07:15:00,"","1.54","","748","","14.46","","12.05","","11.2","","0.0","","81","","0","","1",""
2017-02-23,07:30:00,"","4.02","","751","","14.52","","12.10","","11.1","","0.0","","81","","0","","1",""
2017-02-23,07:45:00,"","9.94","","750","","14.50","","12.10","","11.1","","0.0","","81","","0","","1",""
2017-02-23,08:00:00,"","12.70","","753","","14.56","","12.15","","11.1","","0.0","","81","","0","","1",""
2017-02-23,08:15:00,"","15.02","","753","","14.57","","12.16","","11.1","","0.0","","81","","0","","1",""
2017-02-23,08:30:00,"","19.63","","756","","14.61","","12.21","","11.1","","0.0","","81","","0","","1",""
2017-02-23,08:45:00,"","16.16","","751","","14.52","","12.13","","11.2","","0.0","","81","","0","","1",""
2017-02-23,09:00:00,"","16.23","","746","","14.43","","12.05","","11.2","","0.0","","82","","0","","1",""
