"TOA5","CR1000","CR1000","74426","CR1000.Std.28.02","CPU:Teste_CR_PROGRAMATION_FILE_NAME.CR1","34651","CR_1000_SITE_NAME"
"TIMESTAMP","RECORD","Bat_Volt","Bat_Volt_Min","Temp_Int","Pression_bridge","Pression_bridge_v","TDGP1_Avg","Pression_bridge_Avg","Pression_bridge_v_Avg"
"TS","RN","volt","volt","DegC","psi","millivolt","mmHg","psi","millivolt"
"","","Smp","Min","Smp","Smp","Smp","Avg","Avg","Avg"
"2016-06-21 18:20:00",48,13.28412,13.28412,0,22.06686,2.599786,158.6356,21.90197,2.586781
"2016-06-21 18:25:00",49,13.2731,13.2731,0,22.14726,2.606568,158.6356,22.09901,2.602837
"2016-06-21 18:30:00",50,13.25107,13.25107,0,22.22768,2.620141,158.6356,22.19954,2.611318
"2016-06-21 18:35:00",51,13.24006,13.24006,0,22.46907,2.633716,158.6356,22.40604,2.628286
"2016-06-21 18:40:00",52,13.25107,13.24006,0,22.54952,2.640503,158.6356,22.50125,2.636883
"2016-06-21 18:45:00",53,13.23455,13.23455,0,22.71045,2.654079,158.6356,22.66486,2.649893
"2016-06-21 18:50:00",54,13.23455,13.22904,0,22.87138,2.667655,158.6356,22.79494,2.661433
"2016-06-21 18:55:00",55,13.22353,13.22353,0,23.03231,2.681231,158.6356,22.93977,2.672972
"2016-06-21 19:00:00",56,13.21803,13.21252,0,23.11277,2.688019,158.9332,23.08997,2.685756
"2016-06-21 19:05:00",57,13.21252,13.21252,0,23.35416,2.708382,162.4052,23.19726,2.694806
"2016-06-21 19:10:00",58,13.20701,13.20701,0,23.43463,2.71517,164.7363,23.38635,2.711437
"2016-06-21 19:15:00",59,13.19049,13.18498,0,23.59556,2.728746,167.1667,23.50034,2.720148
"2016-06-21 19:20:00",60,13.17397,13.17397,0,23.75648,2.742322,170.2419,23.71223,2.738589
"2016-06-21 19:25:00",61,13.16295,13.16295,0,23.83695,2.74911,170.5395,23.77258,2.743906
"2016-06-21 19:30:00",62,13.15194,13.15194,0,23.99788,2.762686,170.5395,23.89864,2.754201
"2016-06-21 19:35:00",63,13.14092,13.14092,0,24.07834,2.769474,170.5395,24.0542,2.767663
"2016-06-21 19:40:00",64,13.1244,13.1244,0,24.31973,2.789837,170.5395,24.17087,2.778298
"2016-06-21 19:45:00",65,13.10788,13.10788,0,24.4002,2.796625,170.5395,24.35058,2.792213
"2016-06-21 19:50:00",66,13.10788,13.10237,0,24.48066,2.803413,170.5395,24.43104,2.799567
"2016-06-21 19:55:00",67,13.09135,13.09135,0,24.64159,2.823777,170.5395,24.61879,2.815292
"2016-06-21 20:00:00",68,13.08584,13.08584,0,24.80252,2.830565,170.5395,24.73412,2.824682
"2016-06-21 20:05:00",69,13.08584,13.08584,0,24.96345,2.844141,170.5395,24.87628,2.836561
"2016-06-21 20:10:00",70,13.08034,13.08034,0,25.04391,2.850929,170.5395,25.01843,2.848666
"2016-06-21 20:15:00",71,13.06932,13.06932,0,25.12437,2.857717,170.5395,25.11096,2.856133
"2016-06-21 20:20:00",72,13.05831,13.05831,0,25.36577,2.87808,170.5395,25.29201,2.872197
"2016-06-21 20:25:00",73,13.0528,13.0528,0,25.44623,2.884868,170.5395,25.41673,2.882379
"2016-06-21 20:30:00",74,13.0528,13.0528,0,25.60716,2.898444,170.5395,25.5562,2.894258
"2016-06-21 20:35:00",75,13.04179,13.04179,0,25.68762,2.905232,170.5395,25.67019,2.903761
"2016-06-21 20:40:00",76,13.03077,13.03077,0,25.84855,2.91202,170.5395,25.74529,2.909644
"2016-06-21 20:45:00",77,13.03077,13.02526,0,26.00948,2.932384,170.5395,25.9384,2.925822
"2016-06-21 20:50:00",78,13.01976,13.01976,0,26.08994,2.939172,170.5891,26.01618,2.933176
"2016-06-21 20:55:00",79,13.01425,13.01425,0,26.25087,2.952748,170.6387,26.15029,2.944263
"2016-06-21 21:00:00",80,13.00874,13.00874,0,26.33134,2.959536,172.3747,26.30183,2.95716
"2016-06-21 21:05:00",81,13.00874,13.00874,0,26.4118,2.966323,175.3011,26.37961,2.963721
"2016-06-21 21:10:00",82,13.00874,13.00874,0,26.65319,2.986687,177.2851,26.55261,2.978429
"2016-06-21 21:15:00",83,13.00323,13.00323,0,26.65319,2.986687,180.8067,26.65587,2.987026
"2016-06-21 21:20:00",84,13.00323,13.00323,0,26.89458,3.007051,182.3443,26.78596,2.997887
"2016-06-21 21:25:00",85,12.99773,12.99773,0,26.97505,3.013839,182.4435,26.9442,3.011124
"2016-06-21 21:30:00",86,12.99222,12.99222,0,27.05551,3.020627,182.4435,27.01528,3.017346
"2016-06-21 21:35:00",87,12.99222,12.99222,0,27.21644,3.040991,182.4435,27.18291,3.032166
"2016-06-21 21:40:00",88,12.98671,12.98671,0,27.29691,3.047779,182.4435,27.29691,3.04133
"2016-06-21 21:45:00",89,12.98671,12.98671,0,27.5383,3.061354,182.4435,27.4243,3.051512
"2016-06-21 21:50:00",90,12.9812,12.9812,0,27.61876,3.068142,182.4435,27.57585,3.064635
"2016-06-21 21:55:00",91,12.97569,12.97569,0,27.69923,3.07493,182.4435,27.64156,3.070518
"2016-06-21 22:00:00",92,12.97569,12.97569,0,27.86015,3.088506,182.4435,27.7998,3.083302
"2016-06-21 22:05:00",93,12.97019,12.97019,0,27.94062,3.102082,182.4435,27.92587,3.094276
"2016-06-21 22:10:00",94,12.96512,12.96512,0,28.18201,3.102082,182.4443,28.02645,3.102195
"2016-06-21 22:15:00",95,12.96526,12.96503,0,28.26247,3.122446,182.4489,28.18871,3.116789
"2016-06-21 22:20:00",96,12.96558,12.96526,0,28.26247,3.129234,182.4509,28.26247,3.122559
"2016-06-21 22:25:00",97,12.95998,12.95989,0,28.50386,3.142809,182.4522,28.3711,3.131949
"2016-06-21 22:30:00",98,12.95487,12.95462,0,28.58433,3.149597,182.4524,28.53471,3.145977
"2016-06-21 22:35:00",99,12.95535,12.95487,0,28.66479,3.163173,182.4587,28.60444,3.15152
"2016-06-21 22:40:00",100,12.95014,12.94995,0,28.82572,3.169961,182.4623,28.76537,3.164644
"2016-06-21 22:45:00",101,12.95024,12.94474,0,28.90619,3.176749,182.4641,28.90082,3.176296
"2016-06-21 22:50:00",102,12.94479,12.94474,0,28.98665,3.183537,182.4649,28.94508,3.18003
"2016-06-21 22:55:00",103,12.94481,12.94479,0,29.14758,3.197113,182.4653,29.10064,3.192588
"2016-06-21 23:00:00",104,12.9396,12.9396,0,29.22804,3.203901,182.4681,29.21463,3.202882
"2016-06-21 23:05:00",105,12.93396,12.93396,0,29.46944,3.217477,182.4677,29.30314,3.210349
"2016-06-21 23:10:00",106,12.93433,12.93391,0,29.46944,3.231053,182.5668,29.45334,3.222907
"2016-06-21 23:15:00",107,12.92858,12.92858,0,29.5499,3.231053,184.7016,29.54722,3.230826
"2016-06-21 23:20:00",108,12.92842,12.92842,0,29.71083,3.244628,188.4204,29.64109,3.238745
"2016-06-21 23:25:00",109,12.92286,12.92286,0,29.87175,3.258204,191.2472,29.78727,3.251303
"2016-06-21 23:30:00",110,12.92284,12.92284,0,29.95222,3.264992,193.4791,29.87577,3.258657
"2016-06-21 23:35:00",111,12.92282,12.92282,0,30.03268,3.278568,194.2726,29.98709,3.267821
"2016-06-21 23:40:00",112,12.91774,12.91731,0,30.19361,3.285356,194.3721,30.12656,3.280491
"2016-06-21 23:45:00",113,12.91237,12.91237,0,30.19229,3.292032,194.3774,30.19473,3.28579
"2016-06-21 23:50:00",114,12.91243,12.91225,0,30.35279,3.298784,194.3786,30.306,3.294497
"2016-06-21 23:55:00",115,12.90721,12.90689,0,30.51474,3.312447,194.3801,30.4392,3.3063
"2016-06-22 00:00:00",116,12.90711,12.90702,0,30.59555,3.319264,194.3814,30.55781,3.315967
"2016-06-22 00:05:00",117,12.90198,12.90174,0,30.6762,3.326067,194.3814,30.6332,3.323005
"2016-06-22 00:10:00",118,12.90167,12.90167,0,30.83502,3.339465,194.3844,30.76346,3.333202
"2016-06-22 00:15:00",119,12.89598,12.89598,0,30.91684,3.346367,194.3797,30.85055,3.340775
"2016-06-22 00:20:00",120,12.89598,12.89584,0,30.99689,3.359908,194.3797,30.96313,3.350273
"2016-06-22 00:25:00",121,12.8904,12.8904,0,31.15625,3.366564,194.3807,31.08995,3.360631
"2016-06-22 00:30:00",122,12.89115,12.8904,0,31.23814,3.373472,194.3839,31.16385,3.367431
"2016-06-22 00:35:00",123,12.89139,12.89087,0,31.31861,3.380261,194.3864,31.2915,3.378313
"2016-06-22 00:40:00",124,12.88615,12.88599,0,31.48026,3.393898,194.3912,31.42088,3.389227
"2016-06-22 00:45:00",125,12.88629,12.88615,0,31.5611,3.400717,194.3935,31.4912,3.395046
"2016-06-22 00:50:00",126,12.88085,12.88078,0,31.63929,3.4141,194.3947,31.59898,3.403573
"2016-06-22 00:55:00",127,12.88067,12.88043,0,31.80041,3.420905,194.3915,31.72329,3.41406
"2016-06-22 01:00:00",128,12.88044,12.87493,0,31.79936,3.420817,194.3916,31.79994,3.420979
"2016-06-22 01:05:00",129,12.87516,12.87493,0,31.95951,3.434327,194.392,31.90933,3.430433
"2016-06-22 01:10:00",130,12.8695,12.8695,0,32.04207,3.441292,194.3903,32.01854,3.439533
"2016-06-22 01:15:00",131,12.86951,12.86914,0,32.12174,3.448012,194.3891,32.11544,3.447707
"2016-06-22 01:20:00",132,12.86942,12.86915,0,32.28273,3.461594,194.3894,32.20407,3.455297
"2016-06-22 01:25:00",133,12.86415,12.86391,0,32.36462,3.468502,194.392,32.32916,3.46585
"2016-06-22 01:30:00",134,12.85876,12.85876,0,32.44381,3.475182,194.394,32.42631,3.47348
"2016-06-22 01:35:00",135,12.85883,12.85878,0,32.60425,3.48193,194.4445,32.50397,3.480597
"2016-06-22 01:40:00",136,12.85886,12.85883,0,32.68518,3.495544,194.7923,32.63263,3.491111
"2016-06-22 01:45:00",137,12.85887,12.85886,0,32.76589,3.502352,196.678,32.72956,3.499966
"2016-06-22 01:50:00",138,12.85337,12.85336,0,32.8446,3.508992,199.5062,32.79201,3.504669
"2016-06-22 01:55:00",139,12.85337,12.85337,0,32.92604,3.515862,201.3421,32.89731,3.513892
"2016-06-22 02:00:00",140,12.84786,12.84786,0,33.08632,3.522596,203.426,33.01951,3.523522
"2016-06-22 02:05:00",141,12.84786,12.84786,0,33.1664,3.529352,205.113,33.08612,3.529367
"2016-06-22 02:10:00",142,12.84786,12.84786,0,33.24757,3.542987,206.2541,33.18645,3.537604
"2016-06-22 02:15:00",143,12.84235,12.84235,0,33.32776,3.549752,206.3037,33.28315,3.546554
"2016-06-22 02:20:00",144,12.84235,12.84235,0,33.4078,3.556504,206.3037,33.39595,3.555392
"2016-06-22 02:25:00",145,12.83684,12.83684,0,33.48804,3.563273,206.3037,33.45464,3.560682
"2016-06-22 02:30:00",146,12.83684,12.83684,0,33.65075,3.576999,206.3037,33.57194,3.570464
"2016-06-22 02:35:00",147,12.83684,12.83684,0,33.73022,3.583703,206.3037,33.67579,3.579451
"2016-06-22 02:40:00",148,12.83133,12.83133,0,33.81017,3.597235,206.3037,33.75143,3.586285
"2016-06-22 02:45:00",149,12.83133,12.83133,0,33.89013,3.597193,206.3037,33.89078,3.597248
"2016-06-22 02:50:00",150,12.83133,12.83133,0,34.0539,3.611009,206.3037,34.00584,3.606275
"2016-06-22 02:55:00",151,12.82582,12.82582,0,34.05341,3.610967,206.3037,34.05418,3.611032
"2016-06-22 03:00:00",152,12.82582,12.82582,0,34.13245,3.624423,206.3037,34.10537,3.615237
"2016-06-22 03:05:00",153,12.82031,12.82031,0,34.2941,3.631272,206.3037,34.2214,3.625366
"2016-06-22 03:10:00",154,12.82031,12.82031,0,34.37403,3.638015,206.3037,34.32513,3.633437
"2016-06-22 03:15:00",155,12.82031,12.82031,0,34.37437,3.638044,206.3037,34.37606,3.638187
"2016-06-22 03:20:00",156,12.8148,12.8148,0,34.53576,3.651658,206.3037,34.47117,3.646323
"2016-06-22 03:25:00",157,12.8148,12.8148,0,34.61552,3.658387,206.3037,34.575,3.655195
"2016-06-22 03:30:00",158,12.8148,12.8148,0,34.6947,3.665066,206.3037,34.66999,3.66253
"2016-06-22 03:35:00",159,12.8148,12.8148,0,34.77636,3.671956,206.3037,34.702,3.666135
