"TOA5","PO-03","CR800","2656","CR800.Std.04","CPU:F2_XM20170222.CR8","21158","F2_XM20170222"
"TIMESTAMP","RECORD","Bat_Volt","Bat_Volt_Min","Temp_Int","Pression_bridge","Pression_bridge_v","Pression_bridge_Avg","Pression_bridge_v_Avg","CH4","Ptot","CH4_v","Ptot_v","CH4_Avg","Ptot_Avg","CH4_v_Avg","Ptot_v_Avg"
"TS","RN","volt","volt","DegC","psi","millivolt","psi","millivolt","%","mbar","volt","volt","%","mbar","volt","volt"
"","","Smp","Min","Smp","Smp","Smp","Avg","Avg","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg"
"2017-02-24 09:30:00",32,13.00524,11.73305,0,0,0,0,0,104.0718,1921.102,5.111221,4.224595,"NAN","NAN","NAN","NAN"
"2017-02-24 10:00:00",33,13.2719,12.98302,0,0,0,0,0,103.755,1913.539,5.095749,4.211932,103.84,1916.242,5.099786,4.215484
"2017-02-24 10:30:00",34,12.96762,12.96762,0,0,0,0,0,103.9502,1919.844,5.10392,4.220785,103.8246,1916.748,5.098582,4.215674
"2017-02-24 11:00:00",35,13.85605,12.83423,0,0,0,0,0,103.7275,1916.059,5.094403,4.216151,103.777,1916.502,5.096142,4.216444
"2017-02-24 11:30:00",36,14.69234,14.18371,0,0,0,0,0,103.7195,1916.303,5.094012,4.215264,103.7119,1916.037,5.0933,4.2152
"2017-02-24 12:00:00",37,14.12891,14.12891,0,0,0,0,0,103.7472,1917.352,5.094688,4.218666,103.7286,1917.119,5.094007,4.217417
"2017-02-24 12:30:00",38,13.01858,13.01858,0,0,0,0,0,103.803,1920.505,5.097413,4.224115,103.7868,1919.687,5.096164,4.222185
"2017-02-24 13:00:00",39,13.51268,13.51268,0,0,0,0,0,103.7891,1921.906,5.095369,4.226159,103.7496,1920.038,5.094688,4.223775
"2017-02-24 13:30:00",40,12.78513,12.56317,0,0,0,0,0,103.8309,1924.008,5.098094,4.231609,103.7868,1922.373,5.095936,4.227635
"2017-02-24 14:00:00",41,13.14523,12.80083,0,0,0,0,0,103.817,1924.358,5.098094,4.231609,103.817,1925,5.098094,4.232176
"2017-02-24 14:30:00",42,12.235,12.19115,0,0,0,0,0,103.9007,1928.912,5.100819,4.239102,103.8472,1926.868,5.099116,4.235923
"2017-02-24 15:00:00",43,11.95266,11.77495,0,0,0,0,0,103.9007,1929.962,5.102862,4.242508,103.9123,1929.729,5.102635,4.2416
"2017-02-24 15:30:00",44,12.16362,11.73615,0,0,0,0,0,103.8728,1930.663,5.100819,4.245914,103.903,1930.78,5.102408,4.244324
"2017-02-24 16:00:00",45,12.05814,12.01928,0,0,0,0,0,103.8728,1932.415,5.100819,4.246595,103.8797,1931.655,5.100705,4.24546
"2017-02-24 16:30:00",46,11.74757,11.73615,0,0,0,0,0,103.8867,1933.115,5.100819,4.247957,103.8983,1932.765,5.102181,4.248071
"2017-02-24 17:00:00",47,11.60585,11.51107,0,0,0,0,0,103.9007,1934.516,5.102181,4.251363,103.8983,1934.049,5.102181,4.250001
